tech,lr,l2,hidden,epochs,seed,faith,thr,loss,loss_bp,wall_s,repairs
lr_l2_grid,0.001,0.0,16,,,100.0,30721.33207673028,nan,,0.00177139600054943,
lr_l2_grid,0.001,1e-05,16,,,100.0,53475.75710660317,nan,,0.0013547039998229593,
lr_l2_grid,0.001,0.001,16,,,100.0,53460.8820692004,nan,,0.0018315609995624982,
lr_l2_grid,0.01,0.0,16,,,100.0,50075.15183887729,nan,,0.0010959840001305565,
lr_l2_grid,0.01,1e-05,16,,,100.0,51883.534445017875,nan,,0.0013756389998889063,
lr_l2_grid,0.01,0.001,16,,,100.0,34153.5340050243,nan,,0.002072969999971974,
lr_l2_grid,0.05,0.0,16,,,100.0,53051.849058784144,nan,,0.0011930580003536306,
lr_l2_grid,0.05,1e-05,16,,,100.0,51207.82455555836,nan,,0.0010518709996176767,
lr_l2_grid,0.05,0.001,16,,,100.0,57043.69280624416,nan,,0.0010167270002057194,
train_bp,0.05,0.001,32,,,100.0,40021.28632271762,nan,nan,0.012760265999531839,
early_stop,0.05,0.001,16,2,,100.0,49414.553371547416,nan,,0.0007636660002390272,
early_stop,0.05,0.001,16,4,,100.0,54562.722404470376,nan,,0.0008139379997373908,
early_stop,0.05,0.001,16,6,,100.0,51522.157741829025,nan,,0.0012015250003969413,
early_stop,0.05,0.001,16,10,,100.0,56303.97812384426,nan,,0.0007281430007424206,
multiseed,0.05,0.001,16,,0,100.0,50422.72364064632,nan,,0.00103723899974284,
multiseed,0.05,0.001,16,,1,100.0,54819.11406097376,nan,,0.0011162700002387282,
multiseed,0.05,0.001,16,,2,100.0,55267.36883039536,nan,,0.0013365380000323057,
capacity,0.05,0.001,8,,,100.0,50734.94321470999,nan,,0.0013703740005439613,
capacity,0.05,0.001,16,,,100.0,46952.73107186551,nan,,0.001022436999846832,
capacity,0.05,0.001,32,,,100.0,43223.091940362356,nan,,0.0011570249998840154,
capacity,0.05,0.001,64,,,100.0,46281.030000753366,nan,,0.001586886999575654,
residual_safe,,,,,,100.0,30976.86511724771,,,,0
