code,engine,faith,thr,unf,backend,repairs
CSS repetition Z d=7,GNN_residual_safe,100.0,73620.95161081108,0,GNN_residual_safe,0
CSS repetition Z d=7,Neural_residual_safe,100.0,62060.4706584147,0,Neural_faithful_safe,0
CSS repetition Z d=7,BPOSD_min_sum_osd0,100.0,738066.9567388418,0,BPOSD_min_sum_osd0,0
CSS repetition Z d=7,BPOSD_min_sum_osd4,100.0,885075.0778322337,0,BPOSD_min_sum_osd4,0
CSS repetition Z d=7,BPOSD_exact_osd0,100.0,562918.2025830135,0,BPOSD_exact_osd0,0
CSS repetition Z d=7,BPOSD_exact_osd4,100.0,570534.5646127108,0,BPOSD_exact_osd4,0
CSS repetition Z d=7,BPOSD_best,100.0,885075.0778322337,0,BPOSD_min_sum_osd4,0
CSS repetition Z d=7,Cascade_w4,100.0,1741520.2955926214,0,HybridCascade_w4,0
HP surface d=3,Neural_residual_safe,100.0,39159.98168100093,0,Neural_faithful_safe,0
HP surface d=3,BPOSD_min_sum_osd0,100.0,335808.1697108286,0,BPOSD_min_sum_osd0,0
HP surface d=3,BPOSD_min_sum_osd4,100.0,298107.0202232875,0,BPOSD_min_sum_osd4,0
HP surface d=3,BPOSD_exact_osd0,100.0,150027.13382553737,0,BPOSD_exact_osd0,0
HP surface d=3,BPOSD_exact_osd4,100.0,149664.89096872896,0,BPOSD_exact_osd4,0
HP surface d=3,BPOSD_best,100.0,335808.1697108286,0,BPOSD_min_sum_osd0,0
HP surface d=3,Cascade_w4,100.0,237539.60925158992,0,HybridCascade_w4,0
CSS toric l=3,Neural_residual_safe,100.0,40104.798854235545,0,Neural_faithful_safe,0
CSS toric l=3,BPOSD_min_sum_osd0,100.0,72046.10952380471,0,BPOSD_min_sum_osd0,0
CSS toric l=3,BPOSD_min_sum_osd4,100.0,70775.9085486546,0,BPOSD_min_sum_osd4,0
CSS toric l=3,BPOSD_exact_osd0,100.0,77674.87542857356,0,BPOSD_exact_osd0,0
CSS toric l=3,BPOSD_exact_osd4,100.0,80252.2679982519,0,BPOSD_exact_osd4,0
CSS toric l=3,BPOSD_best,100.0,80252.2679982519,0,BPOSD_exact_osd4,0
CSS toric l=3,Cascade_w4,100.0,125197.08761373645,0,HybridCascade_w4,0
"Classical Gallager (2,4) n=64",Neural_residual_safe,100.0,18297.841834442945,0,Neural_faithful_safe,0
"Classical Gallager (2,4) n=64",BPOSD_min_sum_osd0,100.0,7061.399252646799,0,BPOSD_min_sum_osd0,0
"Classical Gallager (2,4) n=64",BPOSD_min_sum_osd4,100.0,6017.612470397404,0,BPOSD_min_sum_osd4,0
"Classical Gallager (2,4) n=64",BPOSD_exact_osd0,100.0,2495.0029282173696,0,BPOSD_exact_osd0,0
"Classical Gallager (2,4) n=64",BPOSD_exact_osd4,100.0,2328.8066486970265,0,BPOSD_exact_osd4,0
"Classical Gallager (2,4) n=64",BPOSD_best,100.0,7061.399252646799,0,BPOSD_min_sum_osd0,0
"Classical Gallager (2,4) n=64",Cascade_w4,100.0,91366.93135832719,0,HybridCascade_w4,0
