label,decoder,backend,median,p99,faith
CSS planar surface d=3,QECTOR_speed,qector_BPOSD_min_sum_osd0_autopick,423890.1861802746,459993.99828618293,100.0
CSS planar surface d=3,QECTOR_bposd_plus,qector_BPOSD_min_sum_osd0,470247.6515889745,501913.5451446936,100.0
CSS planar surface d=3,ldpc_BPOSD,ldpc_package,272393.45544856193,308918.3276139174,100.0
CSS planar surface d=3,QECTOR_cuda,qector_CUDA_T4,172353.4322536711,174862.91011400832,100.0
CSS planar surface d=5,QECTOR_speed,qector_BPOSD_min_sum_osd4_autopick,66209.44219070321,105442.34915778751,100.0
CSS planar surface d=5,QECTOR_bposd_plus,qector_BPOSD_min_sum_osd0,97152.74154984445,101699.81708370228,100.0
CSS planar surface d=5,ldpc_BPOSD,ldpc_package,108715.5470546758,109697.799725821,100.0
CSS planar surface d=5,QECTOR_cuda,qector_CUDA_T4,40367.37464633084,42129.84814557263,100.0
HP surface d=3,QECTOR_speed,qector_BPOSD_min_sum_osd0_autopick,243702.99078824784,264252.06335360825,100.0
HP surface d=3,QECTOR_bposd_plus,qector_BPOSD_min_sum_osd0,265988.39628882793,279953.9825242918,100.0
HP surface d=3,ldpc_BPOSD,ldpc_package,286062.92484289163,286915.7456496225,100.0
HP surface d=3,QECTOR_cuda,qector_CUDA_T4,306388.3160675854,315623.0964301396,100.0
HP surface d=5,QECTOR_speed,qector_BPOSD_min_sum_osd0_autopick,97590.02205396899,100304.91127971368,100.0
HP surface d=5,QECTOR_bposd_plus,qector_BPOSD_min_sum_osd0,86928.82498927899,94680.68384512345,100.0
HP surface d=5,ldpc_BPOSD,ldpc_package,108249.27103658282,108515.68349002079,100.0
HP surface d=5,QECTOR_cuda,qector_CUDA_T4,43540.52499970966,46580.22880372723,100.0
CSS toric l=3,QECTOR_speed,qector_HybridCascade_w8_autopick,196925.50061090392,204081.6326356327,100.0
CSS toric l=3,QECTOR_bposd_plus,qector_BPOSD_min_sum_osd0,82426.93222314733,88461.38697323117,100.0
CSS toric l=3,ldpc_BPOSD,ldpc_package,212007.75485803882,213044.83523623188,100.0
CSS toric l=3,QECTOR_cuda,qector_CUDA_T4,308829.25970782025,310713.1716047888,100.0
CSS toric l=4,QECTOR_speed,qector_BPOSD_min_sum_osd0_autopick,66921.22875193358,69890.97008277863,100.0
CSS toric l=4,QECTOR_bposd_plus,qector_BPOSD_min_sum_osd0,67234.55351028102,69933.9288213077,100.0
CSS toric l=4,ldpc_BPOSD,ldpc_package,142681.25955270996,143720.50847232837,100.0
CSS toric l=4,QECTOR_cuda,qector_CUDA_T4,146979.11982554267,155546.2254519589,100.0
"Classical Gallager (2,4) n=64",QECTOR_speed,qector_CPUBatchDecoder,486389.6394909001,500804.02509053017,100.0
"Classical Gallager (2,4) n=64",QECTOR_bposd_plus,qector_BPOSD_min_sum_osd0,6358.550516740644,6766.835748648635,100.0
"Classical Gallager (2,4) n=64",ldpc_BPOSD,ldpc_package,27565.77317106915,27839.02907990793,100.0
"Classical Gallager (2,4) n=64",QECTOR_cuda,qector_CUDA_T4,498426.8404722819,531702.7775931668,100.0
